feature_1,feature_2,corr
EMPLOY_YEARS,DAYS_EMPLOYED,1.0
AGE,DAYS_BIRTH,1.0
DAYS_ID_PUBLISH,ID_PUBLISH_YEARS,1.0
AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_DAY,1.0
REGISTRATION_YEARS,DAYS_REGISTRATION,1.0
AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_WEEK,1.0
AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,1.0
LAST_PHONE_CHANGE_YEARS,DAYS_LAST_PHONE_CHANGE,1.0
HAS_BUREAU_HISTORY,BUREAU_HAS_BAD_DEBT,0.9999999999999954
FLAG_EMPLOY_ANOMALY,FLAG_EMP_PHONE,0.9998678692146824
HOUSING_TOTALAREA_WAS_MISSING,HOUSING_QUALITY_SCORE_WAS_MISSING,0.9982692971964404
HOUSING_QUALITY_SCORE_WAS_MISSING,HOUSING_YEARS_BEGINEXPLUATATION_WAS_MISSING,0.9880803457571387
HOUSING_TOTALAREA_WAS_MISSING,HOUSING_YEARS_BEGINEXPLUATATION_WAS_MISSING,0.9873848058624738
HOUSING_ENTRANCES_WAS_MISSING,HOUSING_FLOORSMAX_WAS_MISSING,0.9846284883840006
HOUSING_INFO_COMPLETENESS,HOUSING_QUALITY_SCORE_WAS_MISSING,0.9827470933875786
HOUSING_INFO_COMPLETENESS,HOUSING_TOTALAREA_WAS_MISSING,0.9818890072163003
HOUSING_INFO_COMPLETENESS,HOUSING_YEARS_BEGINEXPLUATATION_WAS_MISSING,0.9779915905826722
ORGANIZATION_TYPE_FREQ,FLAG_EMPLOY_ANOMALY,0.9756959920254041
ORGANIZATION_TYPE_FREQ,FLAG_EMP_PHONE,0.9755730103485053
HOUSING_INFO_COMPLETENESS,HOUSING_FLOORSMAX_WAS_MISSING,0.9744286965515567
HOUSING_INFO_COMPLETENESS,HOUSING_ENTRANCES_WAS_MISSING,0.970727025422059
HOUSING_LIVINGAPARTMENTS_WAS_MISSING,HOUSING_NONLIVINGAPARTMENTS_WAS_MISSING,0.9701364846648373
HOUSING_FLOORSMAX_WAS_MISSING,HOUSING_YEARS_BEGINEXPLUATATION_WAS_MISSING,0.9691787609586511
HOUSING_QUALITY_SCORE_WAS_MISSING,HOUSING_FLOORSMAX_WAS_MISSING,0.9689017113936572
HOUSING_INFO_COMPLETENESS,HOUSING_LIVINGAREA_WAS_MISSING,0.9688104074002144
HOUSING_FLOORSMAX_WAS_MISSING,HOUSING_APARTMENTS_WAS_MISSING,0.9687847197277942
HOUSING_TOTALAREA_WAS_MISSING,HOUSING_FLOORSMAX_WAS_MISSING,0.967783141176173
AMT_REQ_CREDIT_BUREAU_HOUR,BUREAU_HAS_BAD_DEBT,0.9666005294514673
AMT_REQ_CREDIT_BUREAU_DAY,BUREAU_HAS_BAD_DEBT,0.9666005294514673
AMT_REQ_CREDIT_BUREAU_WEEK,BUREAU_HAS_BAD_DEBT,0.9666005294514673
AMT_REQ_CREDIT_BUREAU_WEEK,HAS_BUREAU_HISTORY,0.9666005294514534
AMT_REQ_CREDIT_BUREAU_DAY,HAS_BUREAU_HISTORY,0.9666005294514534
AMT_REQ_CREDIT_BUREAU_HOUR,HAS_BUREAU_HISTORY,0.9666005294514534
HOUSING_INFO_COMPLETENESS,HOUSING_APARTMENTS_WAS_MISSING,0.9647451676972045
HOUSING_YEARS_BEGINEXPLUATATION_WAS_MISSING,HOUSING_LIVINGAREA_WAS_MISSING,0.9615788895681575
HOUSING_QUALITY_SCORE_WAS_MISSING,HOUSING_LIVINGAREA_WAS_MISSING,0.9605567083279055
HOUSING_ENTRANCES_WAS_MISSING,HOUSING_APARTMENTS_WAS_MISSING,0.9605029672359305
HOUSING_TOTALAREA_WAS_MISSING,HOUSING_LIVINGAREA_WAS_MISSING,0.9603477868178175
HOUSING_ENTRANCES_WAS_MISSING,HOUSING_YEARS_BEGINEXPLUATATION_WAS_MISSING,0.9597972058135077
HOUSING_QUALITY_SCORE_WAS_MISSING,HOUSING_ENTRANCES_WAS_MISSING,0.9575750461332493
BUREAU_N_CREDIT_TYPES,HAS_BUREAU_HISTORY,0.9575740632837758
BUREAU_N_CREDIT_TYPES,BUREAU_HAS_BAD_DEBT,0.9575740632837569
HOUSING_TOTALAREA_WAS_MISSING,HOUSING_ENTRANCES_WAS_MISSING,0.9566190238066553
REGION_RATING_CLIENT_W_CITY,REGION_RATING_CLIENT,0.9542664837359215
HOUSING_YEARS_BUILD_WAS_MISSING,HOUSING_FLOORSMIN_WAS_MISSING,0.9533242614766043
HOUSING_YEARS_BEGINEXPLUATATION_WAS_MISSING,HOUSING_APARTMENTS_WAS_MISSING,0.9510138052092139
HOUSING_QUALITY_SCORE_WAS_MISSING,HOUSING_APARTMENTS_WAS_MISSING,0.9499257836007574
HOUSING_TOTALAREA_WAS_MISSING,HOUSING_APARTMENTS_WAS_MISSING,0.9493337603255795
HOUSING_FLOORSMAX_WAS_MISSING,HOUSING_LIVINGAREA_WAS_MISSING,0.9492545289330734
HOUSING_ENTRANCES_WAS_MISSING,HOUSING_LIVINGAREA_WAS_MISSING,0.9452278143091049
HOUSING_INFO_COMPLETENESS,HOUSING_ELEVATORS_WAS_MISSING,0.943221871535244
EMPLOY_YEARS,EMPLOY_TO_AGE_RATIO,0.9428022797865259
DAYS_EMPLOYED,EMPLOY_TO_AGE_RATIO,0.9428022797865259
HOUSING_FLOORSMIN_WAS_MISSING,HOUSING_LIVINGAPARTMENTS_WAS_MISSING,0.940837824037138
INST_DPD_MAX,INST_DPD_SUM,0.9390652963249442
HOUSING_YEARS_BUILD_WAS_MISSING,HOUSING_LIVINGAPARTMENTS_WAS_MISSING,0.9364031738242823
HOUSING_APARTMENTS_WAS_MISSING,HOUSING_LIVINGAREA_WAS_MISSING,0.9347881455127519
HOUSING_ENTRANCES_WAS_MISSING,HOUSING_ELEVATORS_WAS_MISSING,0.9284856678490516
HOUSING_LIVINGAPARTMENTS_WAS_MISSING,HOUSING_COMMONAREA_WAS_MISSING,0.9284583403305046
HOUSING_FLOORSMIN_WAS_MISSING,HOUSING_NONLIVINGAPARTMENTS_WAS_MISSING,0.9278615608021206
HOUSING_INFO_COMPLETENESS,HOUSING_NONLIVINGAREA_WAS_MISSING,0.9260535013574852
HOUSING_NONLIVINGAPARTMENTS_WAS_MISSING,HOUSING_COMMONAREA_WAS_MISSING,0.9259834629644995
AMT_REQ_CREDIT_BUREAU_WEEK,BUREAU_N_CREDIT_TYPES,0.9255915965590608
AMT_REQ_CREDIT_BUREAU_DAY,BUREAU_N_CREDIT_TYPES,0.9255915965590608
AMT_REQ_CREDIT_BUREAU_HOUR,BUREAU_N_CREDIT_TYPES,0.9255915965590608
HOUSING_FLOORSMAX_WAS_MISSING,HOUSING_ELEVATORS_WAS_MISSING,0.925196296604252
HOUSING_ELEVATORS_WAS_MISSING,HOUSING_APARTMENTS_WAS_MISSING,0.92401557389503
POS_PAID_LAST_2M_SUM,POS_PAID_LAST_3M_SUM,0.9216965590765608
INST_DPD_MEAN,INST_DPD_MAX,0.9182002071331595
HOUSING_FLOORSMAX,HOUSING_ELEVATORS,0.9179075685860892
HOUSING_YEARS_BUILD_WAS_MISSING,HOUSING_NONLIVINGAPARTMENTS_WAS_MISSING,0.9178684099862167
INST_N_PAYMENTS_90D,INST_N_PAYMENTS_60D,0.912255795982909
HOUSING_FLOORSMIN_WAS_MISSING,HOUSING_COMMONAREA_WAS_MISSING,0.9112391880447781
POS_PAID_LAST_2M_MEAN,POS_PAID_LAST_3M_MEAN,0.9111613015067571
HOUSING_NONLIVINGAREA,HOUSING_NONLIVINGAREA_WAS_MISSING,0.9110589296093116
POS_DPD_MEAN,POS_DPD_MAX,0.9081886631223935
HOUSING_YEARS_BEGINEXPLUATATION_WAS_MISSING,HOUSING_ELEVATORS_WAS_MISSING,0.9076197016885102
HOUSING_YEARS_BUILD_WAS_MISSING,HOUSING_COMMONAREA_WAS_MISSING,0.906573239170893
HOUSING_ELEVATORS_WAS_MISSING,HOUSING_NONLIVINGAREA_WAS_MISSING,0.9047211212162356
HOUSING_QUALITY_SCORE_WAS_MISSING,HOUSING_ELEVATORS_WAS_MISSING,0.9026765041011447
HOUSING_TOTALAREA_WAS_MISSING,HOUSING_ELEVATORS_WAS_MISSING,0.9020501118324233
HOUSING_ELEVATORS_WAS_MISSING,HOUSING_LIVINGAREA_WAS_MISSING,0.9007650759521685
HOUSING_ENTRANCES_WAS_MISSING,HOUSING_NONLIVINGAREA_WAS_MISSING,0.8985233324491309
HOUSING_NONLIVINGAREA_WAS_MISSING,HOUSING_LIVINGAREA_WAS_MISSING,0.8959416937490563
HOUSING_APARTMENTS_WAS_MISSING,HOUSING_NONLIVINGAREA_WAS_MISSING,0.8944777640838917
HOUSING_FLOORSMAX_WAS_MISSING,HOUSING_NONLIVINGAREA_WAS_MISSING,0.8929880506695469
NAME_CONTRACT_TYPE,TOTAL_DOCUMENTS_SUBMITTED,0.8917806616355884
INST_DPD_MEAN,INST_DPD_SUM,0.8912584241581347
POS_DPD_TREND_MEAN,POS_DPD_TREND_MAX,0.8897512229289583
INST_PCT_LATE,INST_DPD_MEAN,0.8884617661753266
INST_N_PAYMENTS_90D,INST_N_PAYMENTS_180D,0.8868172682104114
POS_N_LOANS,POS_N_COMPLETED,0.8765237895441674
HOUSING_YEARS_BEGINEXPLUATATION_WAS_MISSING,HOUSING_NONLIVINGAREA_WAS_MISSING,0.8743209885454993
PREV_AMT_APPLICATION_MEAN,PREV_AMT_CREDIT_MEAN,0.8717588567231426
HOUSING_INFO_COMPLETENESS,HOUSING_BASEMENTAREA_WAS_MISSING,0.870718119055692
