Feature,Count,Mean,Std,Min,Q1,Median,Q3,Max
CNT_CHILDREN,307511.0,0.4170517477423572,0.7221213844376252,0.0,0.0,0.0,1.0,19.0
AMT_INCOME_TOTAL,307511.0,168797.9192969845,237123.14627885626,25650.0,112500.0,147150.0,202500.0,117000000.0
AMT_CREDIT,307511.0,599025.9997057016,402490.77699585486,45000.0,270000.0,513531.0,808650.0,4050000.0
AMT_ANNUITY,307499.0,27108.573909183444,14493.737315118333,1615.5,16524.0,24903.0,34596.0,258025.5
AMT_GOODS_PRICE,307233.0,538396.2074288895,369446.46054005757,40500.0,238500.0,450000.0,679500.0,4050000.0
REGION_POPULATION_RELATIVE,307511.0,0.020868112057780035,0.013831280122704704,0.00029,0.010006,0.01885,0.028663,0.072508
DAYS_BIRTH,307511.0,-16036.995066843137,4363.98863178556,-25229.0,-19682.0,-15750.0,-12413.0,-7489.0
DAYS_EMPLOYED,252137.0,-2384.1693246132063,2338.3601620396694,-17912.0,-3175.0,-1648.0,-767.0,0.0
DAYS_REGISTRATION,307511.0,-4986.120327538419,3522.8863209630713,-24672.0,-7479.5,-4504.0,-2010.0,0.0
DAYS_ID_PUBLISH,307511.0,-2994.2023732484367,1509.4504190030234,-7197.0,-4299.0,-3254.0,-1720.0,0.0
OWN_CAR_AGE,104582.0,12.061090818687727,11.944811582242762,0.0,5.0,9.0,15.0,91.0
CNT_FAM_MEMBERS,307509.0,2.152665450442101,0.9106815691792972,1.0,2.0,2.0,3.0,20.0
REGION_RATING_CLIENT,307511.0,2.0524631639193394,0.50903390281568,1.0,2.0,2.0,2.0,3.0
REGION_RATING_CLIENT_W_CITY,307511.0,2.031520823645333,0.5027370329147687,1.0,2.0,2.0,2.0,3.0
HOUR_APPR_PROCESS_START,307511.0,12.063418869568894,3.2658322554378705,0.0,10.0,12.0,14.0,23.0
EXT_SOURCE_1,134133.0,0.5021298056566625,0.21106224927392492,0.0145681324124455,0.3340072886740926,0.5059979305057544,0.6750525982300696,0.962692770561306
EXT_SOURCE_2,306851.0,0.5143926741308462,0.19106015498493653,8.173616518884397e-08,0.3924574161782719,0.5659614260608526,0.6636170897493769,0.8549996664047012
EXT_SOURCE_3,246546.0,0.5108529061799658,0.19484436446374884,0.0005272652387098,0.3706496323299817,0.5352762504724826,0.6690566947824041,0.8960095494948396
OBS_30_CNT_SOCIAL_CIRCLE,306490.0,1.4222454239942575,2.4009887461090083,0.0,0.0,0.0,2.0,348.0
DEF_30_CNT_SOCIAL_CIRCLE,306490.0,0.1434206662533851,0.4466984293815287,0.0,0.0,0.0,0.0,34.0
OBS_60_CNT_SOCIAL_CIRCLE,306490.0,1.4052921791901856,2.37980335197938,0.0,0.0,0.0,2.0,344.0
DEF_60_CNT_SOCIAL_CIRCLE,306490.0,0.10004894123788705,0.3622908039755738,0.0,0.0,0.0,0.0,24.0
DAYS_LAST_PHONE_CHANGE,307510.0,-962.8587883320868,826.8084870406566,-4292.0,-1570.0,-757.0,-274.0,0.0
AMT_REQ_CREDIT_BUREAU_HOUR,265992.0,0.006402448193930645,0.08384912844747724,0.0,0.0,0.0,0.0,4.0
AMT_REQ_CREDIT_BUREAU_DAY,265992.0,0.0070002105326475985,0.1107574063243545,0.0,0.0,0.0,0.0,9.0
AMT_REQ_CREDIT_BUREAU_WEEK,265992.0,0.0343619356973142,0.20468487581282446,0.0,0.0,0.0,0.0,8.0
AMT_REQ_CREDIT_BUREAU_MON,265992.0,0.26739526000781977,0.9160023961526175,0.0,0.0,0.0,0.0,27.0
AMT_REQ_CREDIT_BUREAU_QRT,265992.0,0.26547414959848414,0.7940556483207578,0.0,0.0,0.0,0.0,261.0
AMT_REQ_CREDIT_BUREAU_YEAR,265992.0,1.899974435321363,1.869294998181557,0.0,0.0,1.0,3.0,25.0
ORGANIZATION_TYPE_FREQ,307511.0,0.10792549076339214,0.08556993074269746,7.804598859878183e-05,0.0223731833983174,0.1249126047523503,0.1800716071945393,0.2211042857003489
AGE,307511.0,43.93697278587162,11.956133237768658,20.51780821917808,34.00821917808219,43.15068493150685,53.92328767123288,69.12054794520547
EMPLOY_YEARS,252137.0,6.531970752364949,6.406466197368958,-0.0,2.1013698630136988,4.515068493150685,8.698630136986301,49.07397260273972
EMPLOY_TO_AGE_RATIO,252137.0,0.15686147329178657,0.13354862044651536,-0.0,0.0560994823317578,0.118732940669444,0.2191704426629487,0.7288114904178703
REGISTRATION_YEARS,307511.0,13.66060363709156,9.651743345104306,-0.0,5.506849315068493,12.33972602739726,20.491780821917807,67.59452054794521
ID_PUBLISH_YEARS,307511.0,8.203294173283387,4.135480600008283,0.0,4.712328767123288,8.915068493150685,11.778082191780822,19.71780821917808
LAST_PHONE_CHANGE_YEARS,307510.0,2.637969283101608,2.2652287316182376,-0.0,0.7506849315068493,2.073972602739726,4.301369863013699,11.75890410958904
CREDIT_INCOME_RATIO,307511.0,3.957570238062716,2.6897281854524793,0.0048076153846153,2.018666666666667,3.265066666666667,5.15988,84.73684210526316
ANNUITY_INCOME_RATIO,307499.0,0.18093001093586664,0.09457380109083657,0.0002238846153846,0.1147818181818181,0.1628333333333333,0.2290666666666666,1.8759649122807016
CREDIT_TERM,307499.0,21.612322404363763,7.8238230673581874,8.036674497520229,15.61449587369932,20.0,27.099984919318352,45.30507855316039
GOODS_CREDIT_RATIO,307233.0,0.9006892906928782,0.09663036374711559,0.1666666666666666,0.8347245409015025,0.8938148015731141,1.0,6.666666666666667
INCOME_PER_PERSON,307509.0,93105.8796453531,101373.36339391573,2812.5,47250.0,75000.0,112500.0,39000000.0
EXT_SOURCE_MEAN,307339.0,0.5092512221086406,0.14980199640239597,5.9396509293128426e-06,0.41364796187907255,0.5245019540617536,0.6228188789769243,0.878903368632926
EXT_SOURCE_STD,270602.0,0.15124564129807705,0.09991073550862546,3.538458695855212e-07,0.07238552267029597,0.13602093947315605,0.21438775398661647,0.65194394904561
EXT_SOURCE_MIN,307339.0,0.39958212058850084,0.18742456919686923,8.173616518884397e-08,0.2539628093363117,0.4031670546503185,0.5530128263860846,0.878903368632926
EXT_SOURCE_MAX,307339.0,0.6158820820949088,0.15613039706751966,5.9396509293128426e-06,0.5406544504453575,0.6484702330336605,0.7252764347002191,0.962692770561306
EXT_SOURCE_PROD,109589.0,0.14331515630210234,0.10759772742829887,2.43033209825674e-07,0.0561059956589974,0.1199324348984496,0.21012578569256,0.6185571030029251
EXT_SOURCE_NAN_COUNT,307511.0,0.7642100607783137,0.6499859117173913,0.0,0.0,1.0,1.0,3.0
CNT_ADULTS,307509.0,1.73561099024744,0.44100804271318594,1.0,1.0,2.0,2.0,2.0
CHILDREN_RATIO,307509.0,0.12550249416609424,0.19957832971127767,0.0,0.0,0.0,0.3333333333333333,0.95
TOTAL_DOCUMENTS_SUBMITTED,307511.0,0.9301553440364735,0.3442946889161862,0.0,1.0,1.0,1.0,4.0
HOUSING_APARTMENTS,307511.0,0.10113156266496691,0.0771296994931046,0.0,0.0832666666666666,0.0863999999999999,0.0872166666666666,1.0
HOUSING_BASEMENTAREA,307511.0,0.08078679570270111,0.05347101227011575,0.0,0.0759333333333333,0.0759333333333333,0.0759333333333333,1.0
HOUSING_YEARS_BEGINEXPLUATATION,307511.0,0.9795208704729264,0.043518588458870085,0.0,0.9811,0.9816,0.9826,1.0
HOUSING_YEARS_BUILD,307511.0,0.7584177857052269,0.06468895727911247,0.0,0.7595000000000001,0.7595000000000001,0.7595000000000001,1.0
HOUSING_COMMONAREA,307511.0,0.02757261772749591,0.04262930203418018,0.0,0.0207,0.0207,0.0207,1.0
HOUSING_ELEVATORS,307511.0,0.03604135125789538,0.09879850976106255,0.0,0.0,0.0,0.0,1.0
HOUSING_ENTRANCES,307511.0,0.14281280810550953,0.0706373902139327,0.0,0.1379,0.1379,0.1379,1.0
HOUSING_FLOORSMAX,307511.0,0.1959046280187267,0.10612860222366419,0.0,0.1667,0.1667,0.1667,1.0
HOUSING_FLOORSMIN,307511.0,0.21544584898317998,0.09186713802931043,0.0,0.2083,0.2083,0.2083,1.0
HOUSING_LANDAREA,307511.0,0.05522696017378234,0.05257354052577126,0.0,0.0479666666666666,0.0482666666666666,0.0482666666666666,1.0
HOUSING_LIVINGAPARTMENTS,307511.0,0.08522305142471863,0.054265783922820776,0.0,0.0775333333333333,0.0775333333333333,0.0775333333333333,1.0
HOUSING_LIVINGAREA,307511.0,0.0908795149875397,0.07993440927159733,0.0,0.0690666666666666,0.0749666666666666,0.0764666666666666,1.0
HOUSING_NONLIVINGAPARTMENTS,307511.0,0.0026018736457123952,0.02618098974042581,0.0,0.0,0.0,0.0,1.0
HOUSING_NONLIVINGAREA,307511.0,0.014295042020176993,0.048080931369281044,0.0,0.0027333333333333,0.0032999999999999,0.0034999999999999,1.0
HOUSING_TOTALAREA,307511.0,0.08622883978134116,0.07912649493332807,0.0,0.0617,0.0692,0.0703,1.0
