feature_1,feature_2,corr,iv_1,iv_2,kept,dropped
EMPLOY_YEARS,DAYS_EMPLOYED,1.0,0.11405379021938744,0.11405379021938744,EMPLOY_YEARS,DAYS_EMPLOYED
AGE,DAYS_BIRTH,1.0,0.08692848339829959,0.08692848339829959,AGE,DAYS_BIRTH
DAYS_ID_PUBLISH,ID_PUBLISH_YEARS,1.0,0.04025319853612208,0.040253198536122074,DAYS_ID_PUBLISH,ID_PUBLISH_YEARS
AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_DAY,1.0,0.01321756486798321,0.01321756486798321,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_DAY
REGISTRATION_YEARS,DAYS_REGISTRATION,1.0,0.028486966521123765,0.028486966521123765,REGISTRATION_YEARS,DAYS_REGISTRATION
AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_WEEK,1.0,0.01321756486798321,0.01321756486798321,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_WEEK
LAST_PHONE_CHANGE_YEARS,DAYS_LAST_PHONE_CHANGE,1.0,0.047854682813308166,0.047854682813308166,LAST_PHONE_CHANGE_YEARS,DAYS_LAST_PHONE_CHANGE
HAS_BUREAU_HISTORY,BUREAU_HAS_BAD_DEBT,0.9999999999999954,0.011723817660195883,0.011723817660195883,HAS_BUREAU_HISTORY,BUREAU_HAS_BAD_DEBT
FLAG_EMPLOY_ANOMALY,FLAG_EMP_PHONE,0.9998678692146824,0.03291576646243117,0.032907128220936985,FLAG_EMPLOY_ANOMALY,FLAG_EMP_PHONE
HOUSING_TOTALAREA_WAS_MISSING,HOUSING_QUALITY_SCORE_WAS_MISSING,0.9982692971964404,0.02287310676444821,0.02277704602329449,HOUSING_TOTALAREA_WAS_MISSING,HOUSING_QUALITY_SCORE_WAS_MISSING
HOUSING_TOTALAREA_WAS_MISSING,HOUSING_YEARS_BEGINEXPLUATATION_WAS_MISSING,0.9873848058624738,0.02287310676444821,0.022221035446116533,HOUSING_TOTALAREA_WAS_MISSING,HOUSING_YEARS_BEGINEXPLUATATION_WAS_MISSING
HOUSING_ENTRANCES_WAS_MISSING,HOUSING_FLOORSMAX_WAS_MISSING,0.9846284883840006,0.022663292678270025,0.022601038039857323,HOUSING_ENTRANCES_WAS_MISSING,HOUSING_FLOORSMAX_WAS_MISSING
HOUSING_INFO_COMPLETENESS,HOUSING_TOTALAREA_WAS_MISSING,0.9818890072163003,0.023569658964856466,0.02287310676444821,HOUSING_INFO_COMPLETENESS,HOUSING_TOTALAREA_WAS_MISSING
ORGANIZATION_TYPE_FREQ,FLAG_EMPLOY_ANOMALY,0.9756959920254041,0.0349296046440403,0.03291576646243117,ORGANIZATION_TYPE_FREQ,FLAG_EMPLOY_ANOMALY
HOUSING_INFO_COMPLETENESS,HOUSING_ENTRANCES_WAS_MISSING,0.970727025422059,0.023569658964856466,0.022663292678270025,HOUSING_INFO_COMPLETENESS,HOUSING_ENTRANCES_WAS_MISSING
HOUSING_LIVINGAPARTMENTS_WAS_MISSING,HOUSING_NONLIVINGAPARTMENTS_WAS_MISSING,0.9701364846648373,0.012287600901697733,0.011205617069572179,HOUSING_LIVINGAPARTMENTS_WAS_MISSING,HOUSING_NONLIVINGAPARTMENTS_WAS_MISSING
HOUSING_INFO_COMPLETENESS,HOUSING_LIVINGAREA_WAS_MISSING,0.9688104074002144,0.023569658964856466,0.021048203429536668,HOUSING_INFO_COMPLETENESS,HOUSING_LIVINGAREA_WAS_MISSING
AMT_REQ_CREDIT_BUREAU_HOUR,HAS_BUREAU_HISTORY,0.9666005294514534,0.01321756486798321,0.011723817660195883,AMT_REQ_CREDIT_BUREAU_HOUR,HAS_BUREAU_HISTORY
HOUSING_INFO_COMPLETENESS,HOUSING_APARTMENTS_WAS_MISSING,0.9647451676972045,0.023569658964856466,0.022014105125683456,HOUSING_INFO_COMPLETENESS,HOUSING_APARTMENTS_WAS_MISSING
REGION_RATING_CLIENT_W_CITY,REGION_RATING_CLIENT,0.9542664837359215,0.05120149755009072,0.04831690185425046,REGION_RATING_CLIENT_W_CITY,REGION_RATING_CLIENT
HOUSING_YEARS_BUILD_WAS_MISSING,HOUSING_FLOORSMIN_WAS_MISSING,0.9533242614766043,0.013841091083897226,0.012420726511733772,HOUSING_YEARS_BUILD_WAS_MISSING,HOUSING_FLOORSMIN_WAS_MISSING
